t (s),V (mV)
0,3.2272
0.999,3.1867
2,3.1346
2.999,3.109
3.999,3.0992
4.999,3.0942
5.999,3.0866
6.999,3.081
8,3.0748
9,3.0693
9.999,3.0641
10.999,3.0582
11.999,3.0519
12.999,3.0452
14,3.0379
14.999,3.031
15.999,3.0248
16.999,3.0174
17.999,3.0114
18.999,3.0045
20,2.9967
21,2.9902
21.999,2.9837
23,2.9761
24,2.9692
25,2.9653
25.999,2.9577
26.999,2.9501
28,2.9435
28.999,2.9364
29.999,2.9299
30.999,2.9231
31.999,2.9157
32.999,2.9097
33.999,2.903
35,2.8963
35.999,2.8905
36.999,2.8846
37.999,2.878
38.999,2.8717
39.999,2.8657
40.999,2.8596
41.999,2.8531
42.999,2.8479
43.999,2.842
44.999,2.8363
45.999,2.8309
46.999,2.8251
48,2.8196
49,2.8137
50,2.8082
51,2.8021
52,2.7963
52.999,2.7897
53.999,2.7846
54.999,2.7776
56,2.7719
56.999,2.7663
58,2.7597
59,2.7536
59.999,2.7479
60.999,2.7421
62,2.7355
63,2.7291
64,2.7229
65,2.7165
66,2.7104
67,2.7045
68,2.698
68.999,2.6926
70,2.6855
71,2.6793
72,2.6729
72.999,2.6677
73.999,2.6615
74.999,2.6548
75.999,2.6495
76.999,2.6437
77.999,2.6378
78.999,2.6314
79.999,2.6253
81.001,2.6192
81.999,2.6131
82.999,2.6074
83.999,2.6014
84.999,2.5945
85.999,2.5898
86.999,2.5851
87.999,2.5788
88.999,2.5732
89.999,2.5686
90.999,2.5646
92,2.5594
92.999,2.5544
93.999,2.549
94.999,2.5441
95.999,2.5388
97,2.5349
98,2.5301
98.999,2.5238
99.999,2.5193
101,2.5145
102,2.509
103,2.5036
103.999,2.4989
104.999,2.4929
105.999,2.4874
106.999,2.4811
107.999,2.4751
108.999,2.469
109.999,2.4635
110.999,2.4577
111.999,2.4517
112.999,2.4466
113.999,2.4414
114.999,2.4358
115.999,2.4305
117,2.4253
118,2.42
118.999,2.4146
119.999,2.4089
120.999,2.404
121.999,2.3988
122.999,2.3942
123.999,2.3895
124.999,2.3845
125.999,2.3803
126.999,2.3754
127.999,2.3712
128.999,2.3661
129.999,2.3623
130.999,2.3569
132,2.3521
133,2.3479
133.999,2.3425
134.999,2.3381
135.999,2.3331
136.999,2.3273
137.999,2.3226
138.999,2.3176
139.999,2.3124
140.999,2.3068
141.999,2.3014
142.999,2.296
143.999,2.2897
144.999,2.2844
145.999,2.2791
146.999,2.274
147.999,2.2684
149,2.2636
149.999,2.2587
150.999,2.2542
151.999,2.2488
152.999,2.2432
153.999,2.2393
154.999,2.2347
155.999,2.2302
156.999,2.2259
157.999,2.2225
158.999,2.2187
159.999,2.214
160.999,2.2092
161.999,2.2054
162.999,2.2001
164,2.197
164.999,2.1919
165.999,2.1872
166.999,2.1825
167.999,2.1777
168.999,2.1737
169.999,2.1688
171,2.1626
172,2.1583
172.999,2.1537
173.999,2.1483
175,2.1437
176,2.1385
176.999,2.1338
177.999,2.1291
178.999,2.1244
179.999,2.1187
180.999,2.1144
181.999,2.1095
183,2.1055
183.999,2.1011
184.999,2.097
185.999,2.093
186.999,2.0898
187.999,2.0861
188.999,2.0818
190,2.0784
190.999,2.0737
191.999,2.0703
192.999,2.0666
193.999,2.0621
194.999,2.0577
196,2.0543
196.999,2.0498
197.999,2.0458
198.999,2.0414
199.999,2.037
200.999,2.0319
202,2.0261
203.002,2.0201
204,2.0165
204.999,2.0125
205.999,2.0077
206.999,2.0019
207.999,1.9983
209,1.9934
210,1.9891
210.999,1.9846
211.999,1.9799
212.999,1.9758
213.999,1.9711
214.999,1.9672
216,1.9628
216.999,1.958
217.999,1.9544
218.999,1.9503
219.999,1.9471
221,1.9426
221.999,1.9386
222.999,1.936
223.999,1.9334
224.999,1.9283
225.999,1.9247
226.999,1.9201
228,1.9161
229,1.912
230,1.9086
230.999,1.9038
231.999,1.8999
233,1.8961
233.999,1.8918
234.999,1.8877
235.999,1.8831
236.999,1.878
238,1.8735
238.999,1.8699
239.999,1.8646
240.999,1.8595
242,1.8543
242.999,1.8512
243.999,1.8466
245,1.842
245.999,1.8389
246.999,1.8345
247.999,1.8297
249,1.8255
249.999,1.8218
250.999,1.8175
252,1.8149
252.999,1.811
254,1.8084
254.999,1.804
255.999,1.8005
